date_obs,date_jd,rv_sun,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,rv_model,rv_model_harps
2020-12-11T12:00:00.00,2459195.218,-0.639649731,-20.447,-16.435,0.098,4.012,1.99,0.001,1.99,8.758,0.099,-0.001,-639.4349078,106.46068000000001
2020-12-12T12:00:00.00,2459196.225,-0.639718203,-18.241,-13.92,0.091,4.321,1.851,0.0,1.851,8.57,0.091,0.0,-639.5239553,106.73237
2020-12-13T12:00:00.00,2459197.222,-0.638563464,-17.724,-14.586,0.063,3.138,1.869,0.0,1.869,8.547,0.063,0.0,-639.3885519,105.56946
2020-12-19T12:00:00.00,2459203.219,-0.63866434,-22.195,-17.665,0.082,4.53,2.246,0.0,2.246,9.241,0.082,0.0,-639.6001812,106.90658
2020-12-20T12:00:00.00,2459204.219,-0.640331163,-20.653,-17.402,0.09,3.251,2.153,0.0,2.153,9.058,0.09,0.0,-639.3102583,105.73503000000001
2020-12-21T12:00:00.00,2459205.218,-0.638282753,-19.947,-16.743,0.093,3.204,2.111,0.0,2.111,8.886,0.093,0.0,-639.2894561,105.69804
2020-12-26T12:00:00.00,2459210.229,-0.637505978,-25.209,-17.728,0.413,7.48,2.742,0.018,2.76,10.099,0.288,0.125,-638.9583415,110.39152
2021-01-03T12:00:00.00,2459218.216,-0.639272815,-22.772,-18.326,0.098,4.447,2.197,0.0,2.197,8.981,0.098,0.0,-639.5233092,106.86523000000001
2021-01-04T12:00:00.00,2459219.225,-0.639484207,-19.123,-14.844,0.105,4.279,2.056,0.0,2.056,8.824,0.105,0.0,-639.462916,106.72467
2021-01-05T12:00:00.00,2459220.212,-0.638780137,-19.968,-15.938,0.11,4.03,1.977,0.0,1.977,8.736,0.11,0.0,-639.3935624,106.5043
2021-01-07T12:00:00.00,2459222.21,-0.640685889,-20.603,-17.593,0.097,3.009,1.806,0.0,1.806,8.522,0.097,0.0,-639.2348267,105.52565
2021-01-09T12:00:00.00,2459224.219,-0.639963556,-18.902,-15.422,0.049,3.48,1.674,0.0,1.674,8.336,0.049,0.0,-639.5105577,105.85616
2021-01-10T12:00:00.00,2459225.21,-0.638684393,-18.578,-15.733,0.022,2.845,1.66,0.0,1.66,8.336,0.022,0.0,-639.4827696,105.20513000000001
2021-01-11T12:00:00.00,2459226.217,-0.637854739,-17.656,-15.065,0.013,2.591,1.697,0.0,1.697,8.378,0.013,0.0,-639.4649038,104.94875
2021-01-12T12:00:00.00,2459227.219,-0.638436555,-17.386,-14.486,0.015,2.9,1.747,0.0,1.747,8.611,0.015,0.0,-639.5201988,105.2406
2021-01-15T12:00:00.00,2459230.221,-0.639567266,-19.573,-15.826,0.04,3.748,1.867,0.0,1.867,8.661,0.04,0.0,-639.5987737,106.08524
2021-01-16T12:00:00.00,2459231.214,-0.639775589,-18.808,-16.09,0.025,2.719,1.886,0.001,1.887,8.682,0.029,-0.004,-639.4459128,105.09467000000001
2021-01-17T12:00:00.00,2459232.213,-0.639827569,-19.224,-16.844,0.038,2.379,1.851,0.0,1.851,8.592,0.039,-0.001,-639.3280637,104.80759
2021-02-04T12:00:00.00,2459250.218,-0.639629107,-16.021,-13.029,0.05,2.992,1.686,0.0,1.686,8.359,0.05,0.0,-639.4076353,105.40456
2021-02-05T12:00:00.00,2459251.22,-0.640673207,-15.673,-12.547,0.057,3.126,1.633,0.0,1.633,8.285,0.057,0.0,-639.408615,105.54486
2021-02-06T12:00:00.00,2459252.217,-0.640107609,-17.223,-14.19,0.048,3.033,1.644,0.0,1.644,8.314,0.048,0.0,-639.4234679,105.43821
2021-02-08T12:00:00.00,2459254.221,-0.639141511,-18.004,-15.21,0.03,2.794,1.68,0.0,1.68,8.345,0.03,0.0,-639.442403,105.17562000000001
2021-02-11T12:00:00.00,2459257.224,-0.639851469,-15.607,-12.316,0.044,3.291,1.787,0.0,1.787,8.493,0.044,0.0,-639.4909002,105.66919
2021-02-12T12:00:00.00,2459258.21,-0.639149299,-18.976,-15.556,0.049,3.42,1.845,0.0,1.845,8.544,0.049,0.0,-639.4983644,105.80036000000001
2021-02-18T12:00:00.00,2459264.216,-0.639903373,-19.245,-15.039,0.056,4.206,2.009,0.0,2.009,8.691,0.057,-0.001,-639.6318447,106.54702
2021-02-20T12:00:00.00,2459266.227,-0.63950877,-17.125,-14.391,0.045,2.734,2.028,0.0,2.028,8.738,0.045,0.0,-639.3739555,105.15342000000001
2021-02-21T12:00:00.00,2459267.212,-0.637593621,-16.079,-13.352,0.058,2.728,2.053,0.0,2.053,8.727,0.058,0.0,-639.3239825,105.17696000000001
2021-02-22T12:00:00.00,2459268.213,-0.640216179,-18.01,-14.509,0.063,3.501,2.133,0.002,2.135,8.877,0.062,0.001,-639.4623214,105.90705
2021-02-23T12:00:00.00,2459269.213,-0.639539378,-17.378,-13.357,0.009,4.021,2.236,0.005,2.241,9.226,0.026,-0.018,-639.770512,106.26969000000001
2021-02-24T12:00:00.00,2459270.215,-0.639339794,-19.087,-15.03,-0.015,4.057,2.229,0.005,2.234,9.244,0.011,-0.026,-639.8678348,106.24941000000001
2021-02-25T12:00:00.00,2459271.222,-0.639562972,-19.237,-15.282,-0.013,3.955,2.262,0.008,2.271,9.174,0.027,-0.04,-639.8396056,106.15903
2021-02-27T12:00:00.00,2459273.216,-0.639640438,-18.617,-13.671,0.085,4.946,1.962,0.003,1.964,8.697,0.087,-0.003,-639.6734706,107.30018000000001
2021-03-05T12:00:00.00,2459279.219,-0.63974476,-19.195,-14.784,0.108,4.41,1.864,0.0,1.864,8.644,0.108,0.0,-639.4782872,106.85322000000001
2021-03-14T12:00:00.00,2459288.223,-0.639667342,-16.92,-13.224,0.06,3.696,1.962,0.001,1.963,8.706,0.063,-0.003,-639.5132005,106.08168
2021-03-20T12:00:00.00,2459294.228,-0.640491596,-17.47,-13.724,0.09,3.746,2.032,0.0,2.032,8.669,0.089,0.001,-639.4108531,106.19538
2021-03-22T12:00:00.00,2459296.225,-0.638865921,-16.341,-13.35,0.074,2.992,2.073,0.0,2.073,8.713,0.074,0.0,-639.3176285,105.45832
2021-03-23T12:00:00.00,2459297.224,-0.638475228,-18.225,-15.259,0.092,2.965,2.159,0.001,2.16,8.835,0.09,0.002,-639.2446364,105.47353000000001
2021-03-27T12:00:00.00,2459301.212,-0.639865716,-17.776,-13.988,0.096,3.788,2.035,0.001,2.036,8.75,0.093,0.003,-639.3968867,106.24788000000001
2021-04-02T12:00:00.00,2459307.209,-0.639080452,-17.982,-14.762,0.108,3.22,1.7,0.0,1.7,8.198,0.108,0.0,-639.2364534,105.74652
2021-04-03T12:00:00.00,2459308.222,-0.639739055,-18.414,-15.509,0.093,2.905,1.64,0.0,1.64,8.136,0.093,0.0,-639.2286928,105.41997
2021-04-17T12:00:00.00,2459322.211,-0.639981104,-19.029,-15.675,0.138,3.354,2.018,0.0,2.019,8.627,0.137,0.001,-639.1511766,105.93834000000001
2021-04-19T12:00:00.00,2459324.216,-0.639798638,-18.844,-13.926,0.203,4.918,2.158,0.005,2.163,8.922,0.179,0.024,-639.2252469,107.53846
2021-04-20T12:00:00.00,2459325.226,-0.640405703,-20.493,-14.274,0.194,6.219,2.205,0.006,2.211,9.078,0.178,0.017,-639.5233909,108.72823000000001
2021-04-23T12:00:00.00,2459328.22,-0.639059803,-18.823,-15.199,0.06,3.624,2.151,0.003,2.154,8.929,0.043,0.017,-639.4985685,106.01472000000001
2021-04-29T12:00:00.00,2459334.219,-0.640544034,-22.076,-17.186,0.073,4.891,1.94,0.002,1.942,8.552,0.08,-0.007,-639.7072968,107.22215
2021-04-30T12:00:00.00,2459335.226,-0.639996851,-19.812,-15.713,0.058,4.099,1.762,0.0,1.763,8.285,0.058,0.0,-639.6025994,106.45199000000001
